Invoice No.,Invoice Date,Invoice Total ($),Discount ($),Net Amount ($),Payment No,Payment Date,PO No.,RA No.,GST $,HST $,QST $
'CSC070225,07/02/2025,-2520.0,0.00,-2520.0,004 00032234342025,07/17/2025,,,0.00,0.00,0.00
'RV013160802708,07/02/2025,-2409.510,0.00,-2409.510,004 00032234342025,07/17/2025,'013160802708,'802708,0.00,-277.200,0.00
'INV-30332,07/01/2025,2151.45,0.00,2151.45,004 00033184902025,08/05/2025,'008944339520,,102.45,0.00,0.00
'INV-30329,07/01/2025,2151.45,0.00,2151.45,004 00033184902025,08/05/2025,'008944336221,,102.45,0.00,0.00
'INV-30319,07/01/2025,2151.45,0.00,2151.45,004 00033184902025,08/05/2025,'008944329814,,102.45,0.00,0.00
'INV-30296,07/01/2025,2151.45,0.00,2151.45,004 00033184902025,08/05/2025,'008944313645,,102.45,0.00,0.00
'INV-30334,07/01/2025,2151.45,0.00,2151.45,004 00033184902025,08/05/2025,'008944340488,,102.45,0.00,0.00
'INV-30339,07/01/2025,2151.45,0.00,2151.45,004 00033184902025,08/05/2025,'008944342654,,102.45,0.00,0.00
'INV-30336,07/01/2025,2151.45,0.00,2151.45,004 00033184902025,08/05/2025,'008944341171,,102.45,0.00,0.00
'INV-30337,07/01/2025,2151.45,0.00,2151.45,004 00033184902025,08/05/2025,'008944342098,,102.45,0.00,0.00
'INV-30316,07/01/2025,2151.45,0.00,2151.45,004 00033184902025,08/05/2025,'008944324908,,102.45,0.00,0.00
'INV-30335,07/01/2025,2151.45,0.00,2151.45,004 00033184902025,08/05/2025,'008944340692,,102.45,0.00,0.00
'INV-30333,07/01/2025,2151.45,0.00,2151.45,004 00033184902025,08/05/2025,'008944339854,,102.45,0.00,0.00
'INV-30331,07/01/2025,2151.45,0.00,2151.45,004 00033184902025,08/05/2025,'008944338918,,102.45,0.00,0.00
'INV-30320,07/01/2025,2151.45,0.00,2151.45,004 00033184902025,08/05/2025,'008944329812,,102.45,0.00,0.00
'0135278332,07/01/2025,-3000.0,0.00,-3000.0,004 00032234342025,07/17/2025,'6/13/2025,'Email,0.00,0.00,0.00
'RV008941107579,07/01/2025,-1685.150,0.00,-1685.150,004 00032234342025,07/17/2025,'008941107579,'8945450930,-80.250,0.00,0.00
'INV-30326,07/01/2025,2151.45,0.00,2151.45,004 00033184902025,08/05/2025,'008944334032,,102.45,0.00,0.00
'INV-30327,07/01/2025,2151.45,0.00,2151.45,004 00033184902025,08/05/2025,'008944334189,,102.45,0.00,0.00
'0135300947,07/01/2025,-3000.0,0.00,-3000.0,004 00032234342025,07/17/2025,'6/30/2025,'Email,0.00,0.00,0.00
'INV-30307,07/01/2025,2315.37,0.00,2315.37,004 00033184902025,08/05/2025,'008944321522,,0.00,266.37,0.00
'INV-30317,07/01/2025,2315.37,0.00,2315.37,004 00033184902025,08/05/2025,'008944325667,,0.00,266.37,0.00
'INV-30325,07/01/2025,2335.86,0.00,2335.86,004 00033184902025,08/05/2025,'008944332738,,0.00,286.86,0.00
'6517984490,06/30/2025,-5000.0,0.00,-5000.0,004 00032234342025,07/17/2025,'0005568960,,0.00,0.00,0.00
'RV013620664370,06/30/2025,-1685.150,0.00,-1685.150,004 00032234342025,07/17/2025,'013620664370,'664370,-80.250,0.00,0.00
'RV005150458823,06/30/2025,-2238.930,0.00,-2238.930,004 00032234342025,07/17/2025,'005150458823,'458823,-106.620,0.00,0.00
'RV005160285719,06/29/2025,-1685.150,0.00,-1685.150,004 00032234342025,07/17/2025,'005160285719,'285719,-80.250,0.00,0.00
'INV-30250,06/27/2025,2315.37,0.00,2315.37,004 00033184902025,08/05/2025,'008944288733,,0.00,266.37,0.00
'INV-30283,06/27/2025,2151.45,0.00,2151.45,004 00033184902025,08/05/2025,'008944305869,,102.45,0.00,0.00
'INV-30279,06/27/2025,2151.45,0.00,2151.45,004 00033184902025,08/05/2025,'008944304999,,102.45,0.00,0.00
'INV-30280,06/27/2025,2151.45,0.00,2151.45,004 00033184902025,08/05/2025,'008944305438,,102.45,0.00,0.00
'INV-30289,06/27/2025,2151.45,0.00,2151.45,004 00033184902025,08/05/2025,'008944309659,,102.45,0.00,0.00
'INV-30270,06/27/2025,2315.37,0.00,2315.37,004 00033184902025,08/05/2025,'008944298130,,0.00,266.37,0.00
'RV013620663732,06/27/2025,-2238.930,0.00,-2238.930,004 00032234342025,07/17/2025,'013620663732,'663732,-106.620,0.00,0.00
'RV005280803078,06/26/2025,-3370.290,0.00,-3370.290,004 00032234342025,07/17/2025,'005280803078,'803078,-160.490,0.00,0.00
'INV-30257,06/25/2025,2151.45,0.00,2151.45,004 00033184902025,08/05/2025,'008944294841,,102.45,0.00,0.00
'INV-30253,06/25/2025,2151.45,0.00,2151.45,004 00033184902025,08/05/2025,'008944292444,,102.45,0.00,0.00
'INV-30256,06/25/2025,4302.90,0.00,4302.90,004 00033184902025,08/05/2025,'008944294695,,204.90,0.00,0.00
'INV-30255,06/25/2025,2315.37,0.00,2315.37,004 00033184902025,08/05/2025,'008944294491,,0.00,266.37,0.00
'RV005480785263,06/25/2025,-1685.150,0.00,-1685.150,004 00032234342025,07/17/2025,'005480785263,'785263,-80.250,0.00,0.00
'RV005520514679,06/25/2025,-1685.150,0.00,-1685.150,004 00032234342025,07/17/2025,'005520514679,'514679,-80.250,0.00,0.00
'RV011120619647,06/24/2025,-2238.930,0.00,-2238.930,004 00032234342025,07/17/2025,'011120619647,'619647,-106.620,0.00,0.00
'INV-30236,06/24/2025,4302.90,0.00,4302.90,004 00033184902025,08/05/2025,'008944283674,,204.90,0.00,0.00
'FD011120619647,06/24/2025,-119.480,0.00,-119.480,004 00033394982025,08/08/2025,'011120619647,'30000177,0.00,0.00,0.00
'RV005260966927,06/24/2025,-1685.150,0.00,-1685.150,004 00032234342025,07/17/2025,'005260966927,'966927,-80.250,0.00,0.00
'RV013620662286,06/24/2025,-2238.930,0.00,-2238.930,004 00032234342025,07/17/2025,'013620662286,'662286,-106.620,0.00,0.00
'RV013620662364,06/24/2025,-1685.150,0.00,-1685.150,004 00032234342025,07/17/2025,'013620662364,'662364,-80.250,0.00,0.00
'RV000510526685,06/23/2025,-1685.150,0.00,-1685.150,004 00032234342025,07/17/2025,'000510526685,'526685,-80.250,0.00,0.00
'RV008941103754,06/23/2025,-1685.150,0.00,-1685.150,004 00032234342025,07/17/2025,'008941103754,'8945504501,-80.250,0.00,0.00
'INV-30182,06/23/2025,2315.37,0.00,2315.37,004 00033184902025,08/05/2025,'008944248319,,0.00,266.37,0.00
'6517980920,06/23/2025,-13680.0,0.00,-13680.0,004 00032234342025,07/17/2025,'0005564456,,0.00,0.00,0.00
'INV-30183,06/23/2025,2151.45,0.00,2151.45,004 00033184902025,08/05/2025,'008944249355,,102.45,0.00,0.00
'INV-30180,06/23/2025,2151.45,0.00,2151.45,004 00033184902025,08/05/2025,'008944240391,,102.45,0.00,0.00
'INV-30209,06/23/2025,2151.45,0.00,2151.45,004 00033184902025,08/05/2025,'008944270202,,102.45,0.00,0.00
'INV-30151,06/20/2025,2315.37,0.00,2315.37,004 00033184902025,08/05/2025,'008944234491,,0.00,266.37,0.00
'INV-30148,06/20/2025,2151.45,0.00,2151.45,004 00033184902025,08/05/2025,'008944228042,,102.45,0.00,0.00
'RV002530655525,06/20/2025,-1685.150,0.00,-1685.150,004 00032234342025,07/17/2025,'002530655525,'655525,-80.250,0.00,0.00
'FD005160285719,06/19/2025,-119.120,0.00,-119.120,004 00032234342025,07/17/2025,'005160285719,,-5.670,0.00,0.00
'INV-30065,06/19/2025,2315.37,0.00,2315.37,004 00033184902025,08/05/2025,'008944202313,,0.00,266.37,0.00
'INV-30120,06/19/2025,2151.45,0.00,2151.45,004 00033184902025,08/05/2025,'008944221361,,102.45,0.00,0.00
'INV-30117,06/19/2025,2151.45,0.00,2151.45,004 00033184902025,08/05/2025,'008944215969,,102.45,0.00,0.00
'INV-30083,06/19/2025,2151.45,0.00,2151.45,004 00033184902025,08/05/2025,'008944207116,,102.45,0.00,0.00
'INV-30118,06/19/2025,2315.37,0.00,2315.37,004 00033184902025,08/05/2025,'008944218560,,0.00,266.37,0.00
'FD002560648757,06/18/2025,-64.250,0.00,-64.250,004 00032234342025,07/17/2025,'002560648757,,-3.060,0.00,0.00
'INV-30001,06/17/2025,1723.25,0.00,1723.25,004 00032467732025,07/22/2025,'008944180295,,0.00,198.25,0.00
'INV-29970,06/17/2025,1723.25,0.00,1723.25,004 00032467732025,07/22/2025,'008944159077,,0.00,198.25,0.00
'INV-29985,06/17/2025,2315.37,0.00,2315.37,004 00032467732025,07/22/2025,'008944167272,,0.00,266.37,0.00
'INV-30002,06/17/2025,2315.37,0.00,2315.37,004 00032467732025,07/22/2025,'008944181904,,0.00,266.37,0.00
'INV-30006,06/17/2025,1723.25,0.00,1723.25,004 00032467732025,07/22/2025,'008944183463,,0.00,198.25,0.00
'INV-29965,06/17/2025,1723.25,0.00,1723.25,004 00032467732025,07/22/2025,'008944157868,,0.00,198.25,0.00
'RV005910386828,06/17/2025,-1813.540,0.00,-1813.540,004 00032234342025,07/17/2025,'005910386828,'386828,0.00,-208.640,0.00
'RV002560648757,06/17/2025,-1685.150,0.00,-1685.150,004 00032234342025,07/17/2025,'002560648757,'648757,-80.250,0.00,0.00
'INV-29971,06/17/2025,1723.25,0.00,1723.25,004 00032467732025,07/22/2025,'008944160150,,0.00,198.25,0.00
'INV-29987,06/17/2025,1601.25,0.00,1601.25,004 00032467732025,07/22/2025,'008944169939,,76.25,0.00,0.00
'INV-30007,06/17/2025,1601.25,0.00,1601.25,004 00032467732025,07/22/2025,'008944183475,,76.25,0.00,0.00
'INV-30005,06/17/2025,1601.25,0.00,1601.25,004 00032467732025,07/22/2025,'008944183350,,76.25,0.00,0.00
'INV-29993,06/17/2025,1723.25,0.00,1723.25,004 00032467732025,07/22/2025,'008944174484,,0.00,198.25,0.00
'INV-29949,06/17/2025,1601.25,0.00,1601.25,004 00032467732025,07/22/2025,'008944153595,,76.25,0.00,0.00
'INV-29996,06/17/2025,1601.25,0.00,1601.25,004 00032467732025,07/22/2025,'008944177591,,76.25,0.00,0.00
'INV-30004,06/17/2025,1601.25,0.00,1601.25,004 00032467732025,07/22/2025,'008944183109,,76.25,0.00,0.00
'INV-29988,06/17/2025,1723.25,0.00,1723.25,004 00032467732025,07/22/2025,'008944170879,,0.00,198.25,0.00
'INV-30047,06/17/2025,1723.25,0.00,1723.25,004 00032467732025,07/22/2025,'008944193662,,0.00,198.25,0.00
'FD005440598544,06/17/2025,-102.320,0.00,-102.320,004 00032234342025,07/17/2025,'005440598544,,-4.870,0.00,0.00
'INV-29948,06/17/2025,3202.50,0.00,3202.50,004 00032467732025,07/22/2025,'008944153092,,152.50,0.00,0.00
'INV-29979,06/17/2025,3202.50,0.00,3202.50,004 00032467732025,07/22/2025,'008944164519,,152.50,0.00,0.00
'RV005440598544,06/17/2025,-2238.930,0.00,-2238.930,004 00032234342025,07/17/2025,'005440598544,'598544,-106.620,0.00,0.00
'INV-29952,06/17/2025,3202.50,0.00,3202.50,004 00032467732025,07/22/2025,'008944153941,,152.50,0.00,0.00
'INV-29989,06/17/2025,2151.45,0.00,2151.45,004 00032467732025,07/22/2025,'008944171470,,102.45,0.00,0.00
'INV-29984,06/17/2025,2151.45,0.00,2151.45,004 00032467732025,07/22/2025,'008944167055,,102.45,0.00,0.00
'INV-30013,06/17/2025,2151.45,0.00,2151.45,004 00032467732025,07/22/2025,'008944186130,,102.45,0.00,0.00
'INV-30000,06/17/2025,2151.45,0.00,2151.45,004 00032467732025,07/22/2025,'008944179551,,102.45,0.00,0.00
'INV-29969,06/17/2025,3202.50,0.00,3202.50,004 00032467732025,07/22/2025,'008944158979,,152.50,0.00,0.00
'INV-29994,06/17/2025,1601.25,0.00,1601.25,004 00032467732025,07/22/2025,'008944175910,,76.25,0.00,0.00
'INV-29990,06/17/2025,1601.25,0.00,1601.25,004 00032467732025,07/22/2025,'008944172019,,76.25,0.00,0.00
'INV-29995,06/17/2025,1601.25,0.00,1601.25,004 00032467732025,07/22/2025,'008944176407,,76.25,0.00,0.00
'INV-29980,06/17/2025,1601.25,0.00,1601.25,004 00032467732025,07/22/2025,'008944165118,,76.25,0.00,0.00
'INV-29974,06/17/2025,1601.25,0.00,1601.25,004 00032467732025,07/22/2025,'008944162279,,76.25,0.00,0.00
'INV-30003,06/17/2025,1601.25,0.00,1601.25,004 00032467732025,07/22/2025,'008944182770,,76.25,0.00,0.00
'INV-29972,06/17/2025,1601.25,0.00,1601.25,004 00032467732025,07/22/2025,'008944160472,,76.25,0.00,0.00
'INV-29986,06/17/2025,3202.50,0.00,3202.50,004 00032467732025,07/22/2025,'008944169935,,152.50,0.00,0.00
'INV-29991,06/17/2025,3202.50,0.00,3202.50,004 00032467732025,07/22/2025,'008944172830,,152.50,0.00,0.00
'INV-29997,06/17/2025,3202.50,0.00,3202.50,004 00032467732025,07/22/2025,'008944178542,,152.50,0.00,0.00
'INV-30008,06/17/2025,1601.25,0.00,1601.25,004 00032467732025,07/22/2025,'008944183643,,76.25,0.00,0.00
'INV-29978,06/16/2025,1723.25,0.00,1723.25,004 00032467732025,07/22/2025,'008944163524,,0.00,198.25,0.00
'RV012130501983,06/16/2025,-1685.150,0.00,-1685.150,004 00032234342025,07/17/2025,'012130501983,'501983,-80.250,0.00,0.00
'RV005921095719,06/16/2025,-1813.540,0.00,-1813.540,004 00032234342025,07/17/2025,'005921095719,'1095719,0.00,-208.640,0.00
'6517968237,06/16/2025,-25200.0,0.00,-25200.0,004 00032234342025,07/17/2025,'0005564456,,0.00,0.00,0.00
'INV-29977,06/16/2025,1601.25,0.00,1601.25,004 00032467732025,07/22/2025,'008944163472,,76.25,0.00,0.00
'INV-29975,06/16/2025,1601.25,0.00,1601.25,004 00032467732025,07/22/2025,'008944162324,,76.25,0.00,0.00
'INV-29939,06/14/2025,1601.25,0.00,1601.25,004 00032467732025,07/22/2025,'008944146168,,76.25,0.00,0.00
'INV-29947,06/14/2025,1723.25,0.00,1723.25,004 00032467732025,07/22/2025,'008944151769,,0.00,198.25,0.00
'INV-29937,06/14/2025,1723.25,0.00,1723.25,004 00032467732025,07/22/2025,'008944146065,,0.00,198.25,0.00
'INV-29943,06/14/2025,1601.25,0.00,1601.25,004 00032467732025,07/22/2025,'008944147039,,76.25,0.00,0.00
'INV-29945,06/14/2025,1601.25,0.00,1601.25,004 00032467732025,07/22/2025,'008944147814,,76.25,0.00,0.00
'RV011120615733,06/13/2025,-2238.930,0.00,-2238.930,004 00032234342025,07/17/2025,'011120615733,'615733,-106.620,0.00,0.00
'FD011120615733,06/13/2025,-149.020,0.00,-149.020,004 00018072482026,10/24/2025,'011120615733,'30000177,0.00,0.00,0.00
'RV011280614278,06/13/2025,-2238.930,0.00,-2238.930,004 00032234342025,07/17/2025,'011280614278,'"614278",-106.620,0.00,0.00
'FD002570410970,06/13/2025,-256.940,0.00,-256.940,004 00032234342025,07/17/2025,'002570410970,,-12.240,0.00,0.00
'INV-29901,06/12/2025,3202.50,0.00,3202.50,004 00032234342025,07/17/2025,'008944135559,,152.50,0.00,0.00
'INV-29869,06/12/2025,1723.25,0.00,1723.25,004 00032234342025,07/17/2025,'008944128557,,0.00,198.25,0.00
'INV-29908,06/12/2025,1723.25,0.00,1723.25,004 00032234342025,07/17/2025,'008944140276,,0.00,198.25,0.00
'RV013670310870,06/12/2025,-2238.930,0.00,-2238.930,004 00032234342025,07/17/2025,'013670310870,'310870,-106.620,0.00,0.00
'RV002570410970,06/12/2025,-2238.930,0.00,-2238.930,004 00032234342025,07/17/2025,'002570410970,'410970,-106.620,0.00,0.00
'INV-29897,06/12/2025,1723.25,0.00,1723.25,004 00032234342025,07/17/2025,'008944134469,,0.00,198.25,0.00
'INV-29865,06/12/2025,1601.25,0.00,1601.25,004 00032234342025,07/17/2025,'008944125621,,76.25,0.00,0.00
'INV-29922,06/12/2025,1601.25,0.00,1601.25,004 00032234342025,07/17/2025,'008944143225,,76.25,0.00,0.00
'INV-29905,06/12/2025,1601.25,0.00,1601.25,004 00032234342025,07/17/2025,'008944138839,,76.25,0.00,0.00
'INV-29867,06/12/2025,1601.25,0.00,1601.25,004 00032234342025,07/17/2025,'008944126392,,76.25,0.00,0.00
'INV-29883,06/12/2025,1601.25,0.00,1601.25,004 00032234342025,07/17/2025,'008944132155,,76.25,0.00,0.00
'INV-29913,06/12/2025,1601.25,0.00,1601.25,004 00032234342025,07/17/2025,'008944140969,,76.25,0.00,0.00
'INV-29881,06/12/2025,1601.25,0.00,1601.25,004 00032234342025,07/17/2025,'008944131028,,76.25,0.00,0.00
'INV-29906,06/12/2025,1601.25,0.00,1601.25,004 00032234342025,07/17/2025,'008944139355,,76.25,0.00,0.00
'INV-29902,06/12/2025,3446.50,0.00,3446.50,004 00032234342025,07/17/2025,'008944136300,,0.00,396.50,0.00
'INV-29861,06/12/2025,3446.50,0.00,3446.50,004 00032234342025,07/17/2025,'008944123416,,0.00,396.50,0.00
'INV-29878,06/12/2025,3446.50,0.00,3446.50,004 00032234342025,07/17/2025,'008944130525,,0.00,396.50,0.00
'INV-29864,06/12/2025,3202.50,0.00,3202.50,004 00032234342025,07/17/2025,'008944124587,,152.50,0.00,0.00
'INV-29868,06/12/2025,2151.45,0.00,2151.45,004 00032234342025,07/17/2025,'008944127302,,102.45,0.00,0.00
'INV-29904,06/12/2025,1723.25,0.00,1723.25,004 00032234342025,07/17/2025,'008944138012,,0.00,198.25,0.00
'INV-29915,06/12/2025,1723.25,0.00,1723.25,004 00032234342025,07/17/2025,'008944141804,,0.00,198.25,0.00
'INV-29911,06/12/2025,1723.25,0.00,1723.25,004 00032234342025,07/17/2025,'008944140834,,0.00,198.25,0.00
'INV-29903,06/12/2025,1723.25,0.00,1723.25,004 00032234342025,07/17/2025,'008944137827,,0.00,198.25,0.00
'INV-29914,06/12/2025,1601.25,0.00,1601.25,004 00032234342025,07/17/2025,'008944141491,,76.25,0.00,0.00
'INV-29838,06/11/2025,1723.25,0.00,1723.25,004 00032234342025,07/17/2025,'008944119527,,0.00,198.25,0.00
'INV-29828,06/11/2025,3446.50,0.00,3446.50,004 00032234342025,07/17/2025,'008944118074,,0.00,396.50,0.00
'RV000540855643,06/11/2025,-1685.150,0.00,-1685.150,004 00032234342025,07/17/2025,'000540855643,'855643,-80.250,0.00,0.00
'RV008941097267,06/11/2025,-1685.150,0.00,-1685.150,004 00032234342025,07/17/2025,'008941097267,'8944028322,-80.250,0.00,0.00
'RV000540854108,06/11/2025,-1685.150,0.00,-1685.150,004 00032234342025,07/17/2025,'000540854108,'854108,-80.250,0.00,0.00
'RV005030513293,06/11/2025,-1830.120,0.00,-1830.120,004 00032234342025,07/17/2025,'005030513293,'513293,-80.250,0.00,0.00
'INV-29853,06/11/2025,3202.50,0.00,3202.50,004 00032234342025,07/17/2025,'008944121747,,152.50,0.00,0.00
'INV-29800,06/11/2025,1723.25,0.00,1723.25,004 00032234342025,07/17/2025,'008944109728,,0.00,198.25,0.00
'INV-29866,06/11/2025,1723.25,0.00,1723.25,004 00032234342025,07/17/2025,'008944125987,,0.00,198.25,0.00
'INV-29859,06/11/2025,1723.25,0.00,1723.25,004 00032234342025,07/17/2025,'008944122919,,0.00,198.25,0.00
'INV-29823,06/11/2025,1601.25,0.00,1601.25,004 00032234342025,07/17/2025,'008944117727,,76.25,0.00,0.00
'INV-29839,06/11/2025,3202.50,0.00,3202.50,004 00032234342025,07/17/2025,'008944119589,,152.50,0.00,0.00
'INV-29815,06/11/2025,1601.25,0.00,1601.25,004 00032234342025,07/17/2025,'008944115004,,76.25,0.00,0.00
'RV005410679906,06/10/2025,-1685.150,0.00,-1685.150,004 00032234342025,07/17/2025,'005410679906,'679906,-80.250,0.00,0.00
'RV013240655600,06/10/2025,-1990.610,0.00,-1990.610,004 00032234342025,07/17/2025,'013240655600,'655600,0.00,-240.740,0.00
'RV008941095775,06/10/2025,-1813.540,0.00,-1813.540,004 00032234342025,07/17/2025,'008941095775,'8945988953,0.00,-208.640,0.00
'RV005430716734,06/10/2025,-1685.150,0.00,-1685.150,004 00032234342025,07/17/2025,'005430716734,'716734,-80.250,0.00,0.00
'RV005430716735,06/10/2025,-1685.150,0.00,-1685.150,004 00032234342025,07/17/2025,'005430716735,'716735,-80.250,0.00,0.00
'INV-29812,06/10/2025,1601.25,0.00,1601.25,004 00032234342025,07/17/2025,'008944112146,,76.25,0.00,0.00
'RV008941095776,06/10/2025,-2238.930,0.00,-2238.930,004 00032234342025,07/17/2025,'008941095776,'4003954031,-106.620,0.00,0.00
'INV-29815,06/10/2025,1601.25,0.00,1601.25,004 00032234342025,07/17/2025,'008944115004,,76.25,0.00,0.00
'INV-29816,06/10/2025,1601.25,0.00,1601.25,004 00032234342025,07/17/2025,'008944115606,,76.25,0.00,0.00
'INV-29811,06/10/2025,1601.25,0.00,1601.25,004 00032234342025,07/17/2025,'008944111745,,76.25,0.00,0.00
'INV-29814,06/10/2025,1753.75,0.00,1753.75,004 00032234342025,07/17/2025,'008944113420,,0.00,228.75,0.00
'INV-29800,06/10/2025,1723.25,0.00,1723.25,004 00032234342025,07/17/2025,'008944109728,,0.00,198.25,0.00
'FD010900378932,06/10/2025,-160.640,0.00,-160.640,004 00032234342025,07/17/2025,'010900378932,,-7.650,0.00,0.00
'INV-29801,06/10/2025,2151.45,0.00,2151.45,004 00032234342025,07/17/2025,'008944110109,,102.45,0.00,0.00
'INV-29813,06/10/2025,2315.37,0.00,2315.37,004 00032234342025,07/17/2025,'008944113411,,0.00,266.37,0.00
'RV011680471960,06/10/2025,-2238.930,0.00,-2238.930,004 00032234342025,07/17/2025,'011680471960,'471960,-106.620,0.00,0.00
'INV-29735,06/09/2025,1723.25,0.00,1723.25,004 00032234342025,07/17/2025,'008944072080,,0.00,198.25,0.00
'6517964454,06/09/2025,-16560.0,0.00,-16560.0,004 00032234342025,07/17/2025,'0005564456,,0.00,0.00,0.00
'INV-29737,06/09/2025,1723.25,0.00,1723.25,004 00032234342025,07/17/2025,'008944074188,,0.00,198.25,0.00
'INV-29736,06/09/2025,1601.25,0.00,1601.25,004 00032234342025,07/17/2025,'008944072670,,76.25,0.00,0.00
'INV-29741,06/09/2025,1723.25,0.00,1723.25,004 00032234342025,07/17/2025,'008944078267,,0.00,198.25,0.00
'INV-29747,06/09/2025,1723.25,0.00,1723.25,004 00032234342025,07/17/2025,'008944082192,,0.00,198.25,0.00
'INV-29764,06/09/2025,1723.25,0.00,1723.25,004 00032234342025,07/17/2025,'008944096952,,0.00,198.25,0.00
'INV-29748,06/09/2025,1601.25,0.00,1601.25,004 00032234342025,07/17/2025,'008944082556,,76.25,0.00,0.00
'INV-29761,06/09/2025,1723.25,0.00,1723.25,004 00032234342025,07/17/2025,'008944093202,,0.00,198.25,0.00
'INV-29738,06/09/2025,1601.25,0.00,1601.25,004 00032234342025,07/17/2025,'008944074380,,76.25,0.00,0.00
'INV-29753,06/09/2025,1738.50,0.00,1738.50,004 00032234342025,07/17/2025,'008944085877,,0.00,213.50,0.00
'INV-29740,06/09/2025,1601.25,0.00,1601.25,004 00032234342025,07/17/2025,'008944076016,,76.25,0.00,0.00
'INV-29755,06/09/2025,1601.25,0.00,1601.25,004 00032234342025,07/17/2025,'008944087262,,76.25,0.00,0.00
'INV-29758,06/09/2025,1601.25,0.00,1601.25,004 00032234342025,07/17/2025,'008944088436,,76.25,0.00,0.00
'INV-29731,06/09/2025,1601.25,0.00,1601.25,004 00032234342025,07/17/2025,'008944070922,,76.25,0.00,0.00
'INV-29754,06/09/2025,2151.45,0.00,2151.45,004 00032234342025,07/17/2025,'008944086231,,102.45,0.00,0.00
'INV-29742,06/09/2025,1601.25,0.00,1601.25,004 00032234342025,07/17/2025,'008944079972,,76.25,0.00,0.00
'INV-29757,06/09/2025,3202.50,0.00,3202.50,004 00032234342025,07/17/2025,'008944087968,,152.50,0.00,0.00
'INV-29765,06/09/2025,2315.37,0.00,2315.37,004 00032234342025,07/17/2025,'008944100918,,0.00,266.37,0.00
'INV-29739,06/09/2025,1601.25,0.00,1601.25,004 00032234342025,07/17/2025,'008944075560,,76.25,0.00,0.00
'FD005430716734,06/09/2025,-46.870,0.00,-46.870,004 00032234342025,07/17/2025,'005430716734,,-2.230,0.00,0.00
'INV-29760,06/09/2025,1738.50,0.00,1738.50,004 00032234342025,07/17/2025,'008944092035,,0.00,213.50,0.00
'INV-29763,06/09/2025,3202.50,0.00,3202.50,004 00032234342025,07/17/2025,'008944096351,,152.50,0.00,0.00
'INV-29766,06/09/2025,1601.25,0.00,1601.25,004 00032234342025,07/17/2025,'008944101494,,76.25,0.00,0.00
'INV-29756,06/09/2025,1601.25,0.00,1601.25,004 00032234342025,07/17/2025,'008944087644,,76.25,0.00,0.00
'FD005430716735,06/09/2025,-46.870,0.00,-46.870,004 00032234342025,07/17/2025,'005430716735,,-2.230,0.00,0.00
'INV-29722,06/06/2025,3446.50,0.00,3446.50,004 00032234342025,07/17/2025,'008944068111,,0.00,396.50,0.00
'INV-29705,06/06/2025,1601.25,0.00,1601.25,004 00032234342025,07/17/2025,'008944060402,,76.25,0.00,0.00
'INV-29679,06/06/2025,1601.25,0.00,1601.25,004 00032234342025,07/17/2025,'008944056909,,76.25,0.00,0.00
'RV012480579464,06/06/2025,-2238.930,0.00,-2238.930,004 00032234342025,07/17/2025,'012480579464,'579464,-106.620,0.00,0.00
'INV-29717,06/06/2025,1601.25,0.00,1601.25,004 00032234342025,07/17/2025,'008944065748,,76.25,0.00,0.00
'INV-29689,06/06/2025,1601.25,0.00,1601.25,004 00032234342025,07/17/2025,'008944058185,,76.25,0.00,0.00
'INV-29671,06/06/2025,1601.25,0.00,1601.25,004 00032234342025,07/17/2025,'008944052237,,76.25,0.00,0.00
'INV-29716,06/06/2025,1601.25,0.00,1601.25,004 00032234342025,07/17/2025,'008944064578,,76.25,0.00,0.00
'RV005300656563,06/05/2025,-2238.930,0.00,-2238.930,004 00032234342025,07/17/2025,'005300656563,'656563,-106.620,0.00,0.00
'RV010900378932,06/05/2025,-1845.640,0.00,-1845.640,004 00032234342025,07/17/2025,'010900378932,'378932,0.00,-240.740,0.00
'INV-29662,06/05/2025,1723.25,0.00,1723.25,004 00032234342025,07/17/2025,'008944048541,,0.00,198.25,0.00
'INV-29632,06/05/2025,1723.25,0.00,1723.25,004 00032234342025,07/17/2025,'008944044491,,0.00,198.25,0.00
'INV-29669,06/05/2025,1723.25,0.00,1723.25,004 00032234342025,07/17/2025,'008944050181,,0.00,198.25,0.00
'INV-29597,06/05/2025,1723.25,0.00,1723.25,004 00032234342025,07/17/2025,'008944033976,,0.00,198.25,0.00
'INV-29656,06/05/2025,1601.25,0.00,1601.25,004 00032234342025,07/17/2025,'008944047403,,76.25,0.00,0.00
'INV-29655,06/05/2025,1601.25,0.00,1601.25,004 00032234342025,07/17/2025,'008944047271,,76.25,0.00,0.00
'INV-29627,06/05/2025,1601.25,0.00,1601.25,004 00032234342025,07/17/2025,'008944040218,,76.25,0.00,0.00
'INV-29606,06/05/2025,1601.25,0.00,1601.25,004 00032234342025,07/17/2025,'008944036043,,76.25,0.00,0.00
'INV-29637,06/05/2025,3202.50,0.00,3202.50,004 00032234342025,07/17/2025,'008944045586,,152.50,0.00,0.00
'CSC060525,06/05/2025,-500.0,0.00,-500.0,004 00032234342025,07/17/2025,,,0.00,0.00,0.00
'INV-29671,06/05/2025,1601.25,0.00,1601.25,004 00032234342025,07/17/2025,'008944052237,,76.25,0.00,0.00
'INV-29635,06/04/2025,1723.25,0.00,1723.25,004 00032234342025,07/17/2025,'008944045309,,0.00,198.25,0.00
